BP_APPL_SEQ,LOAN_TYPE_NAME,source_appl_seq,X135,X145,X139,X134,X136,X140,X143,X152,X141,X155,X153,X029,X114,X137,X150,X138,X142,X131,X132,X133,X016,X017,X172,X171,X170,X169,X016,X017
D072203020049690320,???????,2.02203E+17,0,-999999,1,0,167,0,-999999,32,0,30,50,3000,3206,0.9048,-999999,1,0,1,1,0,-999999,-999999,0,0,5,40,-999999,-999999
D072203020049690321,???????,2.02203E+17,3,-999999,1,0,1,1,30,37,1,19,63,13000,13000,0,-999999,0.5,0,1,1,0,-999999,-999999,0,0,14,49,-999999,-999999
D072203020049690321,???????,2.02203E+17,3,-999999,1,0,1,1,30,37,1,19,63,13000,13000,0,-999999,0.5,0,1,1,0,-999999,-999999,0,0,14,49,-999999,-999999
D072203020049690382,???????,2.02203E+17,2,-999999,0.6774,0,61,1,-999999,37,0,13,99,5000,7600,0.5,-999999,0.7,0,1,1,0,-999999,-999999,0,0,14,64,-999999,-999999
D072203020049690382,???????,2.02203E+17,2,-999999,0.6774,0,61,1,-999999,37,0,13,99,5000,7600,0.5,-999999,0.7,0,1,1,0,-999999,-999999,0,0,14,64,-999999,-999999
D072203020049690603,???????,2.02203E+17,1,-999999,-999999,0,140,0,44,31,0,9,91,-999999,-999999,0.75,-999999,0.5,0,1,1,0,-999999,-999999,0,0,3,36,-999999,-999999
D072203020049690603,???????,2.02203E+17,1,-999999,-999999,0,140,0,44,31,0,9,91,-999999,-999999,0.75,-999999,0.5,0,1,1,0,-999999,-999999,0,0,3,36,-999999,-999999
D072203020049690627,???????,2.02203E+17,0,-999999,1,0,-999999,0,-999999,17,0,63,59,-999999,5000,0.8182,-999999,0.8636,0,1,1,0,-999999,-999999,0,0,0,28,-999999,-999999
D072203020049690627,???????,2.02203E+17,0,-999999,1,0,-999999,0,-999999,17,0,63,59,-999999,5000,0.8182,-999999,0.8636,0,1,1,0,-999999,-999999,0,0,0,28,-999999,-999999
D072203020049690666,???????,2.02203E+17,0,-999999,-999999,0,-999999,0,-999999,8,0,42,62,-999999,-999999,0.4,-999999,1,0,1,0,0,-999999,-999999,0,0,0,15,-999999,-999999
