"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017","X172","X171","X170","X169","X016","X017"
"D072203020049671133","萨摩耶无限担保","202203020441127200","0","-999999","-999999.000000","0","-999999","0","-999999","29","0","28","36","-999999.00","-999999.00","0.736800","-999999.0000","0.894700","0","1","0","0","-999999","-999999","0","0","0","32","-999999","-999999"
"D072203020049671133","萨摩耶有限担保","202203020441127200","0","-999999","-999999.000000","0","-999999","0","-999999","29","0","28","36","-999999.00","-999999.00","0.736800","-999999.0000","0.894700","0","1","0","0","-999999","-999999","0","0","0","32","-999999","-999999"
"D072203020049671360","萨摩耶无限担保","202203020441131935","0","-999999","1.000000","0","665","3","-999999","7","0","25","108","10000.00","60000.00","0.285700","-999999.0000","0.928600","0","1","1","0","-999999","-999999","0","0","1","12","-999999","-999999"
"D072203020049671360","萨摩耶有限担保","202203020441131935","0","-999999","1.000000","0","665","3","-999999","7","0","25","108","10000.00","60000.00","0.285700","-999999.0000","0.928600","0","1","1","0","-999999","-999999","0","0","1","12","-999999","-999999"
"D072203020049680263","萨摩耶无限担保","202203020439736719","0","1","-999999.000000","0","84","0","1","22","3","65","61","-999999.00","-999999.00","0.733300","-999999.0000","0.866700","0","1","0","0","3","-999999","0","0","6","29","3","-999999"
"D072203020049680263","萨摩耶有限担保","202203020439736719","0","1","-999999.000000","0","84","0","1","22","3","65","61","-999999.00","-999999.00","0.733300","-999999.0000","0.866700","0","1","0","0","3","-999999","0","0","6","29","3","-999999"
"D072203020049680264","萨摩耶无限担保","202203020439736718","0","-999999","1.000000","0","265","0","-999999","15","0","29","49","10000.00","10000.00","0.571400","370.0000","0.857100","0","1","1","0","-999999","-999999","0","1","1","20","-999999","-999999"
"D072203020049680264","萨摩耶有限担保","202203020439736718","0","-999999","1.000000","0","265","0","-999999","15","0","29","49","10000.00","10000.00","0.571400","370.0000","0.857100","0","1","1","0","-999999","-999999","0","1","1","20","-999999","-999999"
"D072203020049680389","萨摩耶无限担保","202203020441115741","3","-999999","-999999.000000","0","192","0","-999999","33","0","39","32","-999999.00","-999999.00","0.821400","-999999.0000","0.857100","0","1","0","0","-999999","-999999","0","0","2","50","-999999","-999999"
"D072203020049680389","萨摩耶有限担保","202203020441115741","3","-999999","-999999.000000","0","192","0","-999999","33","0","39","32","-999999.00","-999999.00","0.821400","-999999.0000","0.857100","0","1","0","0","-999999","-999999","0","0","2","50","-999999","-999999"
"D072203020049680631","萨摩耶无限担保","202203020441120562","0","-999999","1.000000","0","651","1","-999999","19","0","44","43","6000.00","6000.00","0.375000","-999999.0000","0.875000","0","1","1","0","-999999","-999999","0","0","1","37","-999999","-999999"
"D072203020049680631","萨摩耶有限担保","202203020441120562","0","-999999","1.000000","0","651","1","-999999","19","0","44","43","6000.00","6000.00","0.375000","-999999.0000","0.875000","0","1","1","0","-999999","-999999","0","0","1","37","-999999","-999999"
"D072203020049680859","萨摩耶无限担保","202203020441126761","0","-999999","-999999.000000","0","460","0","-999999","26","0","49","34","-999999.00","-999999.00","0.777800","-999999.0000","1.000000","0","1","0","0","-999999","-999999","0","0","1","36","-999999","-999999"
