"BP_APPL_SEQ","LOAN_TYPE_NAME","source_appl_seq","X135","X145","X139","X134","X136","X140","X143","X152","X141","X155","X153","X029","X114","X137","X150","X138","X142","X131","X132","X133","X016","X017"
"11164440140443353084","微博导流","11164388492749670283","1","1","-999999.000000","0","391","0","12","9","1","114","107","-999999.00","-999999.00","0.444400","-999999.0000","1.000000","0","1","0","1","-999999","-999999"
"11164440254440054067","微博导流","11164440254440054067","1","1","1.000000","0","322","3","14","23","0","165","102","15000.00","51000.00","0.111100","1080.0000","0.666700","1","1","1","0","-999999","-999999"
"11164440451920840418","微博导流","11164440451920840418","0","1","0.543500","0","181","0","21","19","0","19","149","-999999.00","60000.00","0.000000","-999999.0000","0.833300","1","1","1","0","-999999","-999999"
"11164445122428027299","微博导流","11164198244660064181","0","-999999","-999999.000000","0","-999999","0","47","6","3","16","56","-999999.00","-999999.00","0.666700","-999999.0000","0.733300","0","1","0","0","-999999","-999999"
"11164445123677092959","微博导流","11164445123677092959","0","-999999","1.000000","0","-999999","0","44","21","0","43","74","8000.00","8000.00","0.111100","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164445126240311383","微博导流","11164384730117044243","0","1","-999999.000000","0","-999999","0","24","11","1","16","32","-999999.00","-999999.00","0.750000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164445210120953325","微博导流","11164445210120953325","0","-999999","-999999.000000","0","-999999","0","-999999","15","0","20","62","-999999.00","-999999.00","0.142900","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164445210992956212","微博导流","11164445210992956212","0","-999999","1.000000","0","-999999","3","38","8","0","7","112","-999999.00","100000.00","0.200000","482.0000","1.000000","0","1","1","0","-999999","-999999"
"11164445522132978722","微博导流","11164402151391460536","0","-999999","1.000000","0","121","0","-999999","9","0","21","89","15000.00","47000.00","0.153800","-999999.0000","0.923100","0","1","1","0","-999999","-999999"
"11164445617653661847","微博导流","11164420468080279665","2","-999999","0.000000","0","6","0","-999999","18","0","20","34","10000.00","-999999.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164445633836144370","微博导流","11164445134238819647","1","1","0.287900","1","91","0","24","33","1","40","165","-999999.00","10000.00","0.703700","-999999.0000","1.000000","1","1","1","0","-999999","-999999"
"11164445833482039739","微博导流","11164282490069793105","1","-999999","-999999.000000","0","7","0","-999999","30","0","19","27","-999999.00","-999999.00","0.777800","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164445864920219911","微博导流","11164445864920219911","0","-999999","-999999.000000","1","224","0","-999999","11","0","17","18","-999999.00","-999999.00","0.800000","-999999.0000","0.800000","0","1","0","0","-999999","-999999"
"11164445875179186164","微博导流","11164445875179186164","0","-999999","0.727200","2","2","0","40","23","0","33","118","17000.00","140000.00","0.000000","-999999.0000","0.600000","0","1","1","0","-999999","-999999"
"11164445904944091627","微博导流","11164445904944091627","0","-999999","1.000000","1","-999999","0","-999999","1","0","48","53","39000.00","52000.00","0.000000","-999999.0000","0.250000","0","1","1","0","-999999","-999999"
"11164445990225978067","微博导流","11164445990225978067","1","1","1.000000","1","-999999","1","7","12","1","70","67","3000.00","20000.00","0.555600","600.0000","0.888900","1","1","1","0","-999999","-999999"
"11164446068202925445","微博导流","11164222035883415708","0","-999999","0.652200","0","502","0","-999999","4","0","16","154","5000.00","60000.00","0.533300","426.0000","0.933300","0","1","1","0","-999999","-999999"
"11164446085318665969","微博导流","11164413914549227801","1","-999999","0.210500","0","-999999","0","-999999","5","0","6","76","4000.00","4000.00","0.500000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164446086626471598","微博导流","11164446086626471598","1","1","1.000000","0","-999999","0","10","17","1","22","83","58000.00","58000.00","0.153800","910.0000","1.000000","1","1","1","0","-999999","-999999"
"11164446114787733990","微博导流","11164311133886374912","0","-999999","1.000000","0","278","0","-999999","14","0","10","34","4000.00","10000.00","0.400000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164446189922986096","微博导流","11164446189922986096","2","-999999","-999999.000000","0","65","0","-999999","26","0","67","65","-999999.00","-999999.00","0.100000","482.0000","1.000000","0","1","0","0","-999999","-999999"
"11164446230002725495","微博导流","11164301876043529066","1","-999999","0.000000","0","-999999","0","-999999","9","0","8","64","-999999.00","-999999.00","0.333300","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164446303789544231","微博导流","11164446303789544231","2","-999999","0.934300","0","204","1","-999999","28","0","28","113","10000.00","354000.00","0.071400","1703.0000","0.714300","0","1","1","0","-999999","-999999"
"11164446469665348285","微博导流","11164446469665348285","1","-999999","-999999.000000","0","-999999","0","-999999","14","0","137","82","-999999.00","-999999.00","0.500000","-999999.0000","0.950000","0","1","0","0","-999999","-999999"
"11164446512633862698","微博导流","11164446512633862698","1","-999999","-999999.000000","0","1","0","55","19","1","213","75","-999999.00","-999999.00","0.828600","816.0000","1.000000","0","1","1","0","-999999","-999999"
"11164446699565911094","微博导流","11164446699565911094","0","-999999","0.675300","0","575","1","-999999","10","0","73","26","5000.00","10400.00","0.684200","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164446731424311086","微博导流","11164446731424311086","0","-999999","-999999.000000","0","-999999","0","-999999","28","0","36","21","-999999.00","-999999.00","0.636400","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164446758830195253","微博导流","11164446758830195253","1","-999999","-999999.000000","0","0","0","-999999","23","0","35","54","-999999.00","-999999.00","0.222200","-999999.0000","0.888900","0","1","1","0","-999999","-999999"
"11164446813760966364","微博导流","11164446813760966364","0","-999999","-999999.000000","0","232","0","-999999","27","0","50","44","-999999.00","-999999.00","0.600000","-999999.0000","0.900000","0","1","0","0","-999999","-999999"
"11164446825078391489","微博导流","11164446825078391489","3","-999999","1.000000","0","553","1","-999999","16","0","68","55","19000.00","30000.00","0.181800","798.0000","0.727300","0","1","1","0","-999999","-999999"
"11164446844984127595","微博导流","11164446844984127595","0","-999999","1.000000","0","629","0","-999999","3","0","16","38","16200.00","17312.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164446845172129350","微博导流","11164194734825730951","0","-999999","1.000000","0","290","3","49","6","0","48","113","7000.00","34000.00","0.692300","840.0000","0.846200","0","1","1","0","-999999","-999999"
"11164446979437314023","微博导流","11164446979437314023","0","-999999","0.000000","0","-999999","0","-999999","5","0","23","150","1000.00","0.00","0.062500","1626.0000","0.437500","0","1","1","0","-999999","-999999"
"11164447124867557700","微博导流","11164266132380857025","0","-999999","1.000000","0","-999999","1","-999999","31","0","90","84","56000.00","56000.00","0.693900","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164447345446731754","微博导流","11164447345446731754","2","-999999","0.000000","1","254","0","-999999","11","0","18","49","-999999.00","20000.00","0.333300","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164447350107535214","微博导流","11164447350107535214","0","-999999","-999999.000000","0","255","0","27","24","7","11","135","-999999.00","-999999.00","1.000000","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164447510624824022","微博导流","11164447510624824022","0","-999999","1.000000","1","51","0","-999999","13","0","66","85","3000.00","62000.00","0.111100","-999999.0000","0.888900","0","1","1","0","-999999","-999999"
"11164447830701120200","微博导流","11164447830701120200","1","1","0.867300","0","475","0","24","11","0","43","129","100.00","41000.00","0.166700","764.0000","1.000000","1","1","1","0","-999999","-999999"
"11164447851639439921","微博导流","11164234006880389755","0","-999999","1.000000","0","526","2","-999999","6","0","14","49","3000.00","22000.00","0.750000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164447922892159979","微博导流","11164447922892159979","0","-999999","0.873700","0","585","2","-999999","12","0","76","145","4000.00","77789.00","0.272700","-999999.0000","0.727300","0","1","1","0","-999999","-999999"
"11164448115826497023","微博导流","11164448115826497023","1","2","-999999.000000","0","-999999","0","16","7","1","18","33","-999999.00","-999999.00","0.833300","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164448118646799501","微博导流","11164448118646799501","0","-999999","1.000000","1","449","0","-999999","9","0","8","59","28000.00","28000.00","0.500000","-999999.0000","0.666700","0","1","1","0","-999999","-999999"
"11164448293664648545","微博导流","11164448293664648545","4","1","0.908500","1","58","0","22","11","1","35","51","-999999.00","40000.00","0.083300","-999999.0000","0.416700","0","1","1","0","-999999","-999999"
"11164448399326719657","微博导流","11164448399326719657","1","-999999","1.000000","0","78","0","-999999","13","0","45","27","5000.00","13000.00","0.769200","-999999.0000","0.923100","0","1","1","0","-999999","-999999"
"11164448401503860472","微博导流","11164448401503860472","1","-999999","0.870200","0","159","1","51","12","0","135","78","3000.00","41000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164448425604199884","微博导流","11164239394287156330","0","7","1.000000","0","18","0","12","11","0","7","51","3500.00","6083.00","0.250000","-999999.0000","0.750000","7","1","1","0","-999999","-999999"
"11164448469802340238","微博导流","11164448469802340238","1","-999999","0.873600","0","399","0","-999999","3","0","14","134","-999999.00","42000.00","0.000000","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164448496510682479","微博导流","11164448496510682479","0","1","0.322600","1","-999999","0","21","4","0","111","171","3000.00","27000.00","0.264700","-999999.0000","0.970600","1","1","1","0","-999999","-999999"
"11164448574673797777","微博导流","11164448574673797777","0","-999999","-999999.000000","0","-999999","0","-999999","11","0","21","38","-999999.00","-999999.00","0.923100","-999999.0000","1.000000","0","1","0","0","-999999","-999999"
"11164448619175835790","微博导流","11164448619175835790","0","-999999","0.946600","0","428","1","57","7","0","67","218","10000.00","112466.00","0.200000","448.0000","0.800000","0","1","1","0","-999999","-999999"
"11164448873015784185","微博导流","11164448873015784185","0","-999999","0.000000","0","316","0","-999999","9","0","32","129","-999999.00","50.00","0.562500","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
"11164453762051317339","微博导流","11164367392798786890","0","-999999","1.000000","0","109","0","-999999","12","0","39","61","5000.00","12000.00","0.333300","-999999.0000","0.833300","0","1","1","0","-999999","-999999"
"11164453762403375130","微博导流","11164453762403375130","0","-999999","1.000000","0","651","1","-999999","9","0","40","53","5000.00","6000.00","0.850000","-999999.0000","0.950000","0","1","1","0","-999999","-999999"
"11164453769104210082","微博导流","11164453769104210082","0","-999999","0.000000","0","-999999","0","-999999","2","0","3","42","20000.00","-999999.00","0.333300","800.0000","1.000000","0","1","1","0","-999999","-999999"
"11164453832142544502","微博导流","11164453832142544502","0","-999999","0.934200","0","137","0","-999999","19","0","69","107","5000.00","32000.00","0.142900","-999999.0000","1.000000","0","1","1","0","-999999","-999999"
